Date,S&P PUT-CALL RATIO,S&P PUT VOLUME,S&P CALL VOLUME,PREV. DAY OPEN INTEREST
2017-01-12,1.52,657592.0,433264.0,1090856.0
2017-01-13,1.54,689870.0,446726.0,1136596.0
2017-01-17,1.64,724254.0,442641.0,1166895.0
2017-01-18,1.76,906371.0,515944.0,1422315.0
2017-01-19,1.6,669047.0,418489.0,1087536.0
2017-01-20,2.12,769989.0,363664.0,1133653.0
2017-01-23,1.57,705962.0,448234.0,1154196.0
2017-01-24,1.09,455784.0,416936.0,872720.0
2017-01-25,0.97,783499.0,803629.0,1587128.0
2017-01-26,1.76,527907.0,299973.0,827880.0
2017-01-27,1.59,655498.0,412361.0,1067859.0
2017-01-30,1.88,793200.0,422380.0,1215580.0
2017-01-31,1.78,622363.0,349502.0,971865.0
2017-02-01,1.62,578767.0,357314.0,936081.0
2017-02-02,2.21,597905.0,270782.0,868687.0
2017-02-03,1.91,864317.0,451649.0,1315966.0
2017-02-06,1.61,726648.0,450758.0,1177406.0
2017-02-07,1.66,492228.0,296967.0,789195.0
2017-02-08,1.21,514984.0,427214.0,942198.0
2017-02-09,1.34,708354.0,530485.0,1238839.0
2017-02-10,1.21,784777.0,648102.0,1432879.0
2017-02-13,1.17,838882.0,717068.0,1555950.0
2017-02-14,1.16,760308.0,653789.0,1414097.0
2017-02-15,1.39,1096044.0,787866.0,1883910.0
2017-02-16,1.65,839062.0,508405.0,1347467.0
2017-02-17,1.76,746968.0,424123.0,1171091.0
2017-02-21,1.15,860151.0,750030.0,1610181.0
2017-02-22,1.47,721114.0,490045.0,1211159.0
2017-02-23,1.26,591525.0,468299.0,1059824.0
2017-02-24,1.7,838551.0,493194.0,1331745.0
2017-02-27,1.6,691643.0,431915.0,1123558.0
2017-02-28,1.54,689475.0,447109.0,1136584.0
2017-03-01,1.15,1135565.0,984174.0,2119739.0
2017-03-02,1.64,816700.0,498922.0,1315622.0
2017-03-03,1.56,803151.0,515639.0,1318790.0
2017-03-06,1.43,656246.0,457349.0,1113595.0
2017-03-07,1.69,517385.0,305657.0,823042.0
2017-03-08,1.62,670613.0,413545.0,1084158.0
2017-03-09,2.07,640775.0,309655.0,950430.0
2017-03-10,1.94,730841.0,376526.0,1107367.0
2017-03-13,1.49,672934.0,450550.0,1123484.0
2017-03-14,1.72,576660.0,334982.0,911642.0
2017-03-15,1.42,726611.0,511469.0,1238080.0
2017-03-16,1.51,739264.0,489645.0,1228909.0
2017-03-17,2.54,850790.0,335121.0,1185911.0
2017-03-20,2.04,674218.0,329934.0,1004152.0
2017-03-21,1.9,828695.0,435904.0,1264599.0
2017-03-22,1.99,1035252.0,521419.0,1556671.0
2017-03-23,1.65,683465.0,414400.0,1097865.0
2017-03-24,2.59,863169.0,333500.0,1196669.0
2017-03-27,1.71,795307.0,464509.0,1259816.0
2017-03-28,1.33,646323.0,484722.0,1131045.0
2017-03-29,1.81,550367.0,303919.0,854286.0
2017-03-30,1.78,653135.0,366658.0,1019793.0
2017-03-31,2.0,844246.0,422387.0,1266633.0
2017-04-03,2.07,641470.0,309924.0,951394.0
2017-04-04,1.65,410296.0,248046.0,658342.0
2017-04-05,1.65,798368.0,482408.0,1280776.0
2017-04-06,1.91,502592.0,262889.0,765481.0
2017-04-07,2.35,732558.0,311708.0,1044266.0
2017-04-10,1.93,547644.0,284243.0,831887.0
2017-04-11,1.57,658092.0,420166.0,1078258.0
2017-04-12,1.83,653665.0,357681.0,1011346.0
2017-04-13,1.8,925168.0,513630.0,1438798.0
2017-04-17,1.3,620227.0,475646.0,1095873.0
2017-04-18,1.27,530018.0,417759.0,947777.0
2017-04-19,1.7,831352.0,489094.0,1320446.0
2017-04-20,1.52,823181.0,540835.0,1364016.0
2017-04-21,2.52,840910.0,333883.0,1174793.0
2017-04-24,1.93,956085.0,496509.0,1452594.0
2017-04-25,1.22,921956.0,756596.0,1678552.0
2017-04-26,1.38,591856.0,427583.0,1019439.0
2017-04-27,2.04,591198.0,289112.0,880310.0
2017-04-28,1.74,697517.0,400445.0,1097962.0
2017-05-01,1.51,543681.0,359614.0,903295.0
2017-05-02,1.64,519349.0,317030.0,836379.0
2017-05-03,2.1,673798.0,320112.0,993910.0
2017-05-04,1.73,406642.0,234759.0,641401.0
2017-05-05,2.02,738679.0,366511.0,1105190.0
2017-05-08,1.82,687196.0,376690.0,1063886.0
2017-05-09,1.66,662680.0,399791.0,1062471.0
2017-05-10,1.95,565521.0,289826.0,855347.0
2017-05-11,1.55,621668.0,401830.0,1023498.0
2017-05-12,2.05,669447.0,326489.0,995936.0
2017-05-15,1.44,643874.0,446429.0,1090303.0
2017-05-16,1.79,571562.0,319079.0,890641.0
2017-05-17,2.29,1318933.0,575406.0,1894339.0
2017-05-18,1.75,1007917.0,574479.0,1582396.0
2017-05-19,1.93,765631.0,396639.0,1162270.0
2017-05-22,2.0,530843.0,265246.0,796089.0
2017-05-23,1.62,554356.0,343245.0,897601.0
2017-05-24,1.63,565214.0,346040.0,911254.0
2017-05-25,1.45,747805.0,517059.0,1264864.0
2017-05-26,2.05,560634.0,273431.0,834065.0
2017-05-30,2.23,594322.0,266633.0,860955.0
2017-05-31,1.68,620812.0,369972.0,990784.0
2017-06-01,1.48,767674.0,518456.0,1286130.0
2017-06-02,1.47,935461.0,635574.0,1571035.0
2017-06-05,1.42,525483.0,369889.0,895372.0
2017-06-06,1.62,472688.0,291304.0,763992.0
2017-06-07,2.45,656880.0,268508.0,925388.0
2017-06-08,1.49,482034.0,322668.0,804702.0
2017-06-09,1.61,927770.0,577394.0,1505164.0
2017-06-12,2.14,601824.0,281670.0,883494.0
2017-06-13,1.43,589379.0,412159.0,1001538.0
2017-06-14,1.67,769244.0,461037.0,1230281.0
2017-06-15,1.82,792780.0,434919.0,1227699.0
2017-06-16,2.17,730051.0,335872.0,1065923.0
2017-06-19,1.51,592875.0,392477.0,985352.0
2017-06-20,1.67,591122.0,354513.0,945635.0
2017-06-21,2.87,697844.0,242966.0,940810.0
2017-06-22,1.81,521606.0,288616.0,810222.0
2017-06-23,2.32,618025.0,266325.0,884350.0
2017-06-26,1.78,577721.0,324424.0,902145.0
2017-06-27,1.57,631259.0,403253.0,1034512.0
2017-06-28,2.07,597068.0,288488.0,885556.0
2017-06-29,2.27,865927.0,381261.0,1247188.0
2017-06-30,2.23,697457.0,313262.0,1010719.0
2017-07-03,2.16,359903.0,166842.0,526745.0
2017-07-05,2.1,589183.0,279904.0,869087.0
2017-07-06,1.8,709949.0,395409.0,1105358.0
2017-07-07,1.84,748335.0,406447.0,1154782.0
2017-07-10,1.7,656606.0,385623.0,1042229.0
2017-07-11,2.15,503242.0,234093.0,737335.0
2017-07-12,1.54,580139.0,376336.0,956475.0
2017-07-13,1.56,482965.0,308842.0,791807.0
2017-07-14,1.46,785659.0,538406.0,1324065.0
2017-07-17,1.57,602292.0,384656.0,986948.0
2017-07-18,1.38,532444.0,386115.0,918559.0
2017-07-19,1.4,746157.0,534340.0,1280497.0
2017-07-20,1.3,739714.0,567402.0,1307116.0
